"GLUTEN","SV","ASHCONTENT","AIA","BrokenStarch","MOISTURE","GRANLARITY","BiscuitPasteActual","ABCActual","WaterActual","DoughMoisture","Temperature","WetWeight","Zone1","Zone2","Zone3","Zone4","SteamDamper1","SteamDamper2","SteamDamper3","SteamDamper4"
"10.5784","24","0.7623","0.0332","7.05925","12.88075","80.78105","40","1.5","10.5","9.6304088461538","30","80.5","183.9","227.3","209","131.6","0","10","30","30"
"10.5784","24","0.7623","0.0332","7.05925","12.88075","80.78105","40","1.5","10.5","9.6304088461538","30","80.867","184.5","227.3","209.7","131.8","0","10","30","30"
"10.5784","24","0.7623","0.0332","7.05925","12.88075","80.78105","40","1.501","10.52","9.6294977488902","30","80.6","184.5","227.6","208.4","132","0","10","30","30"
"10.5784","24","0.7623","0.0332","7.05925","12.88075","80.78105","40.01","1.559","11.49","9.5846198226544","30","81.033","176.7","221.4","209.3","137.3","0","20","50","20"
"10.5784","24","0.7623","0.0332","7.05925","12.88075","80.78105","40.01","1.602","14.3","9.4642987020042","30","80.967","176.6","221.8","209.8","137.7","0","20","50","20"
"10.5784","24","0.7623","0.0332","7.05925","12.88075","80.78105","40.05","1.6","14","9.4750469319534","31","80.8","176.7","221.6","209.7","137.6","0","20","50","20"
"10.5784","24","0.7623","0.0332","7.05925","12.88075","80.78105","40.06","1.601","14.07","9.471634731016","32","80.733","177.7","219.4","213.8","135.4","0","15","50","0"
"10.5784","24","0.7623","0.0332","7.05925","12.88075","80.78105","40.06","1.602","13.99","9.4749161087768","31","80.4","177.3","219.9","214.7","130.6","0","15","50","0"
"10.5784","24","0.7623","0.0332","7.05925","12.88075","80.78105","40.07","1.6","14.09","9.4703961674368","31","80.433","177.5","221.1","209.7","124.5","0","20","50","50"
"10.5784","24","0.7623","0.0332","7.05925","12.88075","80.78105","40.08","1.6","14.01","9.4732693346224","32","81.033","177.9","228","216.4","137.4","0","15","50","30"
"10.5784","24","0.7623","0.0332","7.05925","12.88075","80.78105","40.1","1.603","14","9.4726383320513","32","80.967","179.1","222","213.5","134.3","0","15","50","30"
"10.5784","24","0.7623","0.0332","7.05925","12.88075","80.78105","40.1","1.61","14","9.4723128278133","31","80.5","176.6","222","209.9","137.8","0","20","50","20"
"10.5784","24","0.7623","0.0332","7.05925","12.88075","80.78105","40.14","1.592","10.5","9.6194118668498","30","81.167","176.5","219.7","209.2","122.2","0","10","30","50"
"10.5784","24","0.7623","0.0332","7.05925","12.88075","80.78105","40.2","1.599","14","9.4682894571461","32","80.5","178.5","227.1","211.9","129.3","0","20","50","50"
"10.5784","24","0.7623","0.0332","7.05925","12.88075","80.78105","40.42","1.602","14.3","9.445770363973","32","81.333","179.6","223.6","213.2","135.7","0","15","50","30"
"10.5784","24","0.7623","0.0332","7.05925","12.88075","80.78105","41.15","1.609","14.07","9.4220894201805","31","81.067","171.8","216.5","216.2","131.1","0","50","50","30"
"10.1182","26","0.7211","0.0355","7.0609","12.9007","80.7541","40.22","1.6","13.5","9.5026811846426","31","81.067","179.1","223.8","214.5","140.2","0","20","30","40"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","20.06","1.56","14.01","10.646554652122","30","81.2","175.1","219.1","206.5","121","0","20","30","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","20.35","1.603","14","10.628169988237","29","80.9","176.7","218.6","209.1","122.6","0","20","30","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","39.72","1.605","14.06","9.6349964542427","29","81.033","184.1","232.3","206.2","125.6","0","20","30","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","40","1.559","14.02","9.6259357263312","29","80.367","175.9","219.3","203.9","119.4","0","20","50","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","40","1.56","14","9.6267359463095","30","81.167","175","219.2","206.5","121","0","20","30","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","40","1.6","14","9.6248446425873","29","81.1","173.3","215.4","219.8","124.8","0","15","40","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","40","1.6","14","9.6248446425873","29","80.867","173.5","215.4","218.6","124.8","0","15","40","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","40","1.6","14","9.6248446425873","29","80.567","173.5","215.5","217.5","124.8","0","15","40","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","40","1.6","14","9.6248446425873","30","80.3","169.8","214.1","214.4","125","0","15","40","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","40","1.6","14","9.6248446425873","29","80.333","171.5","214.7","214.9","125.3","0","15","40","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","40","1.6","14","9.6248446425873","29","80.467","172.1","227.9","213.7","123.9","0","15","40","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","40","1.6","14","9.6248446425873","29","80.867","172","227.3","213.4","123.8","0","15","40","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","40","1.6","13","9.6674154453641","30","80.833","176.8","219.3","207.8","122.3","0","10","30","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","40","1.6","13","9.6674154453641","30","80.833","177.4","219.8","207.1","122.1","0","10","30","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","40","1.605","13","9.6671768674552","30","80.867","174.7","217.9","205.7","120.6","0","20","30","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","40.01","1.062","13.99","9.6503071816641","29","80.7","175.1","219.2","206.5","121","0","20","30","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","40.01","1.599","14.02","9.623583462685","30","81.033","173.7","215.5","219.3","123.9","0","15","40","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","40.01","1.603","14.04","9.6225475535498","30","80.367","173.7","215.6","219.4","123.7","0","15","40","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","40.02","1.592","14.03","9.6230295548825","29","80.3","173.2","215.3","216.7","122.3","0","30","40","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","40.02","1.599","14.06","9.6214287413793","29","80.733","176.4","219.2","209.4","122.3","0","20","30","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","40.02","1.602","14.04","9.6221336558385","29","80.633","173.7","215.5","218.5","123.7","0","15","40","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","40.03","1.598","14.1","9.6193222939787","29","80","175.1","218","206.8","122.6","0","20","30","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","40.04","1.599","14.12","9.6179682860634","29","80.067","175","218.5","205.7","122.2","0","20","30","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","40.04","1.6","14.05","9.620882713928","29","81.033","176.1","219.1","207.1","121.4","0","20","30","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","40.04","1.601","14.07","9.6199891022085","29","80.667","177.9","220.3","209.2","124.6","0","20","30","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","40.04","1.603","14","9.6228576479427","30","80.567","173.8","215.5","218.3","124","0","15","40","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","40.05","1.602","14","9.6224437162037","29","80.567","173.7","215.6","219.6","123.9","0","15","40","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","40.06","1.601","13.01","9.664146401728","30","80.6","174.9","218.3","206","121","0","20","30","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","40.08","1.6","13.04","9.6619812093983","30","80.6","174.9","218.3","206.1","121.1","0","20","30","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","40.1","1.6","13.05","9.660623655506","30","80.8","173.9","216.5","206.1","120.9","0","20","30","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","40.12","1.6","14.07","9.6163504663549","30","80.667","176.6","218.9","209","122.4","0","20","30","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","40.12","1.601","14.05","9.6171489639765","29","80","175.2","218.5","209.5","122","0","20","30","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","40.12","1.613","14.01","9.6182743040912","28","80.7","176.6","219.7","208.9","120.5","0","20","30","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","40.14","1.61","14.12","9.6128448370191","29","80.9","176","218.5","207.5","120.8","0","20","30","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","40.16","1.601","14.08","9.6140388455104","29","79.967","176.2","218.6","204.1","120.5","0","20","30","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","40.42","1.6","13.97","9.606771372654","28","80.567","176.4","220.1","208.7","120.4","0","20","30","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","41.26","1.602","14.02","9.5661363051002","29","80.833","175.3","218.4","209","123.1","0","20","30","50"
"10.5759","21.5","0.7362","0.03095","6.36855","13.0837","83.57095","41.38","1.606","14.06","9.5588152452095","30","80.3","173.4","215.4","215","122.2","0","30","40","50"
"10.56275","21","0.6624","0.0325","5.97775","12.5551","88.03815","30.08","1.5","8.03","9.9841497705961","31","80.7","181.5","223.6","209.6","135.1","0","20","30","40"
"10.56275","21","0.6624","0.0325","5.97775","12.5551","88.03815","30.32","1.5","8.05","9.9707336087556","31","79.933","170.1","226.5","211.4","136.3","0","20","30","40"
"10.6715","20.5","0.6328","0.02905","6.72195","12.4735","88.26605","29.12","1.5","8.02","9.9700921560223","32","80.9","179.5","225.4","209.1","132.3","0","20","30","40"
"10.6715","20.5","0.6328","0.02905","6.72195","12.4735","88.26605","29.21","1.501","8.06","9.9634245639353","32","80.5","196.9","225.8","214.1","132.1","0","20","30","40"
"10.6715","20.5","0.6328","0.02905","6.72195","12.4735","88.26605","29.24","1.5","8.08","9.9609554239787","31","80.7","191.6","226.3","214.5","133.6","0","20","30","40"
"10.6715","20.5","0.6328","0.02905","6.72195","12.4735","88.26605","29.81","1.499","8.03","9.9337950494517","31","80.267","172.6","223.9","215.2","130.1","0","20","30","40"
"10.6715","20.5","0.6328","0.02905","6.72195","12.4735","88.26605","29.88","1.5","8.05","9.9291649395261","32","80.9","194.9","226.4","215.2","133.3","0","20","30","40"
"10.6715","20.5","0.6328","0.02905","6.72195","12.4735","88.26605","30.02","1.5","8.01","9.923829212967","31","80.633","171.3","225.7","210.5","132.3","0","20","30","40"
"10.6715","20.5","0.6328","0.02905","6.72195","12.4735","88.26605","30.03","1.5","8.03","9.9223608445298","32","80.3","169.1","225.2","214.8","132.4","0","20","30","40"
"10.6715","20.5","0.6328","0.02905","6.72195","12.4735","88.26605","30.04","1.502","8.04","9.9212627421198","31","81.433","171.3","226.3","209.8","133.7","0","20","30","40"
"10.6715","20.5","0.6328","0.02905","6.72195","12.4735","88.26605","30.04","1.502","8.04","9.9212627421198","31","80.4","183.1","225.9","213.1","133.6","0","20","30","40"
"10.6715","20.5","0.6328","0.02905","6.72195","12.4735","88.26605","30.04","1.502","8.04","9.9212627421198","31","80.667","194.3","225.5","212.5","133.1","0","20","30","40"
"10.6715","20.5","0.6328","0.02905","6.72195","12.4735","88.26605","30.04","1.502","8.04","9.9212627421198","32","80.533","172","225.4","210.6","132.8","0","20","30","40"
"10.6715","20.5","0.6328","0.02905","6.72195","12.4735","88.26605","30.04","1.721","8.05","9.9092188833045","0","80.667","173.6","228.9","213.4","125.4","0","20","100","100"
"10.6715","20.5","0.6328","0.02905","6.72195","12.4735","88.26605","30.06","1.506","8.03","9.9204936303382","31","81.267","178.9","226.3","213.1","132.9","0","20","30","40"
"10.6715","20.5","0.6328","0.02905","6.72195","12.4735","88.26605","30.08","1.501","8.12","9.9154481780147","","","196","225.8","208.8","132.5","0","20","30","40"
"10.6715","20.5","0.6328","0.02905","6.72195","12.4735","88.26605","30.18","1.501","8.15","9.9088681601259","32","80.4","173.6","228.8","214.8","135.1","0","20","30","40"
"10.6715","20.5","0.6328","0.02905","6.72195","12.4735","88.26605","30.2","1.5","8.2","9.9055201211774","32","80.433","170.7","225.8","211.7","132.3","0","20","30","40"
"10.6715","20.5","0.6328","0.02905","6.72195","12.4735","88.26605","30.2","1.501","8.1","9.9102093746531","31","80.8","196.8","223.9","215.2","129.6","0","20","30","40"
"10.6715","20.5","0.6328","0.02905","6.72195","12.4735","88.26605","30.35","1.501","8","9.9072235237174","0","80.367","168.6","225.8","209.3","117.1","0","20","100","100"
"10.6715","20.5","0.6328","0.02905","6.72195","12.4735","88.26605","31.2","1.501","8.09","9.8594106710595","32","80.933","184.6","228.8","209.5","136.8","0","20","30","40"
"10.1501","22.5","0.7344","0.02925","7.6096","13.175","89.94375","40","1.65","16","9.6043314817932","30","80.133","174.7","215.9","217.8","133.4","10","10","30","40"
"10.1501","22.5","0.7344","0.02925","7.6096","13.175","89.94375","40","1.65","16","9.6043314817932","30","81","174.7","215.8","218.8","133.4","10","10","30","40"
"10.1501","22.5","0.7344","0.02925","7.6096","13.175","89.94375","40","1.65","16","9.6043314817932","31","80.933","172.1","216.3","219.2","123.1","10","10","50","60"
"10.1501","22.5","0.7344","0.02925","7.6096","13.175","89.94375","40","1.65","16","9.6043314817932","31","81.367","173.5","217.5","218.1","130.7","10","10","30","40"
"10.1501","22.5","0.7344","0.02925","7.6096","13.175","89.94375","40","1.65","16","9.6043314817932","31","81","173.5","217.4","218.1","130.7","10","10","30","40"
